"...1" "BTC-USD" "ETH-USD" "BNB-USD" "ADA-USD" "XRP-USD" "LTC-USD"
"2016-08-15" 567.239990234375 NA NA NA NA 3.5770800113678
"2016-08-16" 577.439025878906 NA NA NA NA 3.63772010803223
"2016-08-17" 573.216003417969 NA NA NA NA 3.59944009780884
"2016-08-18" 574.317993164062 NA NA NA NA 3.60712003707886
"2016-08-19" 575.630004882812 NA NA NA NA 3.60408997535706
"2016-08-20" 581.697021484375 NA NA NA NA 3.61556005477905
"2016-08-21" 581.307983398438 NA NA NA NA 3.615070104599
"2016-08-22" 586.752990722656 NA NA NA NA 3.65725994110107
"2016-08-23" 583.414978027344 NA NA NA NA 3.93073010444641
"2016-08-24" 580.182006835938 NA NA NA NA 3.8550500869751
"2016-08-25" 577.760986328125 NA NA NA NA 3.80206990242004
"2016-08-26" 579.651000976562 NA NA NA NA 3.82638001441956
"2016-08-27" 569.947021484375 NA NA NA NA 3.73676991462708
"2016-08-28" 573.911987304688 NA NA NA NA 3.73983001708984
"2016-08-29" 574.106994628906 NA NA NA NA 3.75952005386353
"2016-08-30" 577.502990722656 NA NA NA NA 3.8040599822998
"2016-08-31" 575.471984863281 NA NA NA NA 3.79744005203247
"2016-09-01" 572.302978515625 NA NA NA NA 3.83201003074646
"2016-09-02" 575.536987304688 NA NA NA NA 3.82456994056702
"2016-09-03" 598.211975097656 NA NA NA NA 3.88875007629395
"2016-09-04" 608.633972167969 NA NA NA NA 4.01444005966187
"2016-09-05" 606.590026855469 NA NA NA NA 3.97919011116028
"2016-09-06" 610.435974121094 NA NA NA NA 3.97235989570618
"2016-09-07" 614.544006347656 NA NA NA NA 3.96988010406494
"2016-09-08" 626.315979003906 NA NA NA NA 3.98833990097046
"2016-09-09" 622.861022949219 NA NA NA NA 3.96999001502991
"2016-09-10" 623.508972167969 NA NA NA NA 3.96898007392883
"2016-09-11" 606.718994140625 NA NA NA NA 3.85544991493225
"2016-09-12" 608.242980957031 NA NA NA NA 3.82318997383118
"2016-09-13" 609.241027832031 NA NA NA NA 3.82171010971069
"2016-09-14" 610.684020996094 NA NA NA NA 3.83215999603271
"2016-09-15" 607.155029296875 NA NA NA NA 3.81191992759705
"2016-09-16" 606.973022460938 NA NA NA NA 3.8061900138855
"2016-09-17" 605.984008789062 NA NA NA NA 3.805419921875
"2016-09-18" 609.8740234375 NA NA NA NA 4.04339981079102
"2016-09-19" 609.226989746094 NA NA NA NA 3.83116006851196
"2016-09-20" 608.31201171875 NA NA NA NA 3.84207010269165
"2016-09-21" 597.148986816406 NA NA NA NA 3.84036993980408
"2016-09-22" 596.297973632812 NA NA NA NA 3.76757001876831
"2016-09-23" 602.841979980469 NA NA NA NA 3.81291007995605
"2016-09-24" 602.625 NA NA NA NA 3.80514001846313
"2016-09-25" 600.825988769531 NA NA NA NA 3.80837988853455
"2016-09-26" 608.043029785156 NA NA NA NA 3.85874009132385
"2016-09-27" 606.166015625 NA NA NA NA 3.85224008560181
"2016-09-28" 604.72802734375 NA NA NA NA 3.8376100063324
"2016-09-29" 605.692993164062 NA NA NA NA 3.84560990333557
"2016-09-30" 609.734985351562 NA NA NA NA 3.84159994125366
"2016-10-01" 613.982971191406 NA NA NA NA 3.84922003746033
"2016-10-02" 610.892028808594 NA NA NA NA 3.84230995178223
"2016-10-03" 612.132995605469 NA NA NA NA 3.83797001838684
"2016-10-04" 610.203979492188 NA NA NA NA 3.8230299949646
"2016-10-05" 612.510986328125 NA NA NA NA 3.84313011169434
"2016-10-06" 613.02099609375 NA NA NA NA 3.84653997421265
"2016-10-07" 617.120971679688 NA NA NA NA 3.8622899055481
"2016-10-08" 619.107971191406 NA NA NA NA 3.83804988861084
"2016-10-09" 616.752014160156 NA NA NA NA 3.81512999534607
"2016-10-10" 618.994018554688 NA NA NA NA 3.79517006874084
"2016-10-11" 641.072021484375 NA NA NA NA 3.81632995605469
"2016-10-12" 636.192016601562 NA NA NA NA 3.75851011276245
"2016-10-13" 636.786010742188 NA NA NA NA 3.90656995773315
"2016-10-14" 640.377990722656 NA NA NA NA 3.89759993553162
"2016-10-15" 638.64599609375 NA NA NA NA 3.87243008613586
"2016-10-16" 641.630981445312 NA NA NA NA 3.88544988632202
"2016-10-17" 639.192993164062 NA NA NA NA 3.91048002243042
"2016-10-18" 637.960021972656 NA NA NA NA 3.83958005905151
"2016-10-19" 630.52001953125 NA NA NA NA 3.80414009094238
"2016-10-20" 630.856994628906 NA NA NA NA 3.77900004386902
"2016-10-21" 632.828002929688 NA NA NA NA 3.80545997619629
"2016-10-22" 657.294006347656 NA NA NA NA 3.88545989990234
"2016-10-23" 657.070983886719 NA NA NA NA 3.91777992248535
"2016-10-24" 653.760986328125 NA NA NA NA 3.8688600063324
"2016-10-25" 657.588012695312 NA NA NA NA 3.90440988540649
"2016-10-26" 678.304016113281 NA NA NA NA 3.96028995513916
"2016-10-27" 688.31298828125 NA NA NA NA 4.02150011062622
"2016-10-28" 689.651000976562 NA NA NA NA 3.97322010993958
"2016-10-29" 714.47900390625 NA NA NA NA 4.09031009674072
"2016-10-30" 701.864013671875 NA NA NA NA 4.03400993347168
"2016-10-31" 700.971984863281 NA NA NA NA 3.99395990371704
"2016-11-01" 729.793029785156 NA NA NA NA 4.08832979202271
"2016-11-02" 740.828979492188 NA NA NA NA 4.10449981689453
"2016-11-03" 688.700012207031 NA NA NA NA 3.86133003234863
"2016-11-04" 703.234985351562 NA NA NA NA 3.87889003753662
"2016-11-05" 703.418029785156 NA NA NA NA 3.86668992042542
